,zip,state_x,total,below40,i40_45,i45_50,plus50,s_black,s_hispanic,s_asian,s_unknown,s_other,s_nativeAmerican,s_female,s_male,plus50sum,plus50count,state_y,ratio,ratio_err,std3,r_minus_3std,ratio_minus_std,ratio_rank,rmstd_rank,trunc_zip,new_zip
9517,81005,CO,3063,75,103,265,2620,75,2770,10,53,0,1,1634,1376,6803.0,7563.0,CO,0.8995107761470316,0.0034571313549140374,0.010371394064742112,0.8891393820822895,0.8960536447921176,104.0,73.0,81005,<generator object <genexpr> at 0x7f6fbe722a50>
9518,81006,CO,1070,34,65,131,840,15,964,1,25,0,0,546,499,1883.0,2111.0,CO,0.891994315490289,0.006755542546932157,0.020266627640796474,0.8717276878494925,0.8852387729433568,116.0,94.0,81006,<generator object <genexpr> at 0x7f6fbe722a50>
9519,81007,CO,1349,80,121,240,908,39,1157,20,30,0,0,707,612,2701.0,3536.0,CO,0.7638574660633484,0.007142284496489746,0.02142685348946924,0.7424306125738791,0.7567151815668586,358.0,310.0,81007,<generator object <genexpr> at 0x7f6fbe722a50>
9520,81008,CO,962,29,38,126,769,46,787,44,22,0,0,514,426,2004.0,2363.0,CO,0.8480744815911976,0.0073841498328318725,0.022152449498495617,0.825922032092702,0.8406903317583657,204.0,180.0,81008,<generator object <genexpr> at 0x7f6fbe722a50>
9521,81019,CO,33,3,1,5,24,1,27,0,0,0,0,19,14,66.0,85.0,CO,0.7764705882352941,0.04518771486364413,0.13556314459093238,0.6409074436443618,0.73128287337165,338.5,348.5,81019,<generator object <genexpr> at 0x7f6fbe722a50>
9522,81020,CO,59,6,5,8,40,0,55,0,1,0,0,32,26,123.0,140.0,CO,0.8785714285714286,0.027604822750147404,0.08281446825044221,0.7957569603209863,0.8509666058212811,148.0,167.0,81020,<generator object <genexpr> at 0x7f6fbe722a50>
9523,81022,CO,109,5,12,10,82,0,101,0,1,0,0,54,54,233.0,262.0,CO,0.8893129770992366,0.019383179717536687,0.058149539152610064,0.8311634379466266,0.8699297973817,122.0,127.0,81022,<generator object <genexpr> at 0x7f6fbe722a50>
9524,81023,CO,17,3,1,1,12,0,13,0,1,0,0,8,8,24.0,37.0,NM,0.6486486486486487,0.07848284013769638,0.23544852041308914,0.4132001282355595,0.5701658085109523,415.0,435.0,81023,<generator object <genexpr> at 0x7f6fbe722a50>
9525,81024,CO,5,0,1,2,2,0,4,0,0,0,0,3,2,20.0,25.0,CO,0.8,0.07999999999999997,0.23999999999999994,0.56,0.7200000000000001,295.0,367.5,81024,<generator object <genexpr> at 0x7f6fbe722a50>
9526,81025,CO,66,4,10,9,43,0,61,0,3,0,0,36,27,68.0,85.0,CO,0.8,0.04338609156373122,0.13015827469119368,0.6698417253088064,0.7566139084362689,295.0,311.0,81025,<generator object <genexpr> at 0x7f6fbe722a50>
9527,81027,CO,7,1,0,1,5,2,4,0,0,0,0,4,3,5.0,8.0,CO,0.625,0.1711632992203644,0.5134898976610932,0.11151010233890679,0.45383670077963556,,,81027,<generator object <genexpr> at 0x7f6fbe722a50>
9528,81029,CO,2,0,1,0,1,0,2,0,0,0,0,1,1,2.0,5.0,CO,0.4,0.21908902300206645,0.6572670690061994,-0.25726706900619933,0.18091097699793357,,,81029,<generator object <genexpr> at 0x7f6fbe722a50>
9529,81030,CO,5,1,0,0,4,0,4,0,0,0,0,4,1,20.0,25.0,CO,0.8,0.07999999999999997,0.23999999999999994,0.56,0.7200000000000001,295.0,367.5,81030,<generator object <genexpr> at 0x7f6fbe722a50>
9530,81033,CO,14,2,0,2,10,0,12,0,0,0,0,7,7,34.0,37.0,CO,0.918918918918919,0.044874280652761625,0.1346228419582849,0.7842960769606341,0.8740446382661573,60.0,120.0,81033,<generator object <genexpr> at 0x7f6fbe722a50>
9531,81036,CO,34,12,0,6,16,22,4,2,2,0,0,18,14,51.0,146.0,CO,0.3493150684931507,0.03945641356418221,0.11836924069254663,0.23094582780060408,0.30985865492896847,646.0,640.0,81036,<generator object <genexpr> at 0x7f6fbe722a50>
9532,81039,CO,99,6,11,20,62,0,92,1,6,0,0,60,33,92.0,143.0,CO,0.6433566433566433,0.04005667949376916,0.12017003848130749,0.5231866048753359,0.6032999638628742,509.0,491.0,81039,<generator object <genexpr> at 0x7f6fbe722a50>
9533,81040,CO,40,1,2,3,34,0,36,0,2,0,0,18,20,72.0,92.0,CO,0.782608695652174,0.043003074351899144,0.12900922305569743,0.6535994725964765,0.7396056213002749,328.0,336.0,81040,<generator object <genexpr> at 0x7f6fbe722a50>
9534,81041,CO,44,4,14,17,9,0,41,0,1,0,0,18,25,72.0,99.0,CO,0.7272727272727273,0.044760542174302816,0.13428162652290845,0.5929911007498189,0.6825121850984245,415.5,412.0,81041,<generator object <genexpr> at 0x7f6fbe722a50>
9535,81043,CO,5,2,1,2,0,1,4,0,0,0,0,3,2,3.0,7.0,CO,0.42857142857142855,0.1870439059165649,0.5611317177496946,-0.13256028917826607,0.24152752265486366,,,81043,<generator object <genexpr> at 0x7f6fbe722a50>
9536,81044,CO,5,0,0,2,3,0,5,0,1,0,0,3,1,6.0,8.0,CO,0.75,0.15309310892394862,0.45927932677184585,0.29072067322815415,0.5969068910760513,,,81044,<generator object <genexpr> at 0x7f6fbe722a50>
9537,81045,CO,2,0,0,1,1,2,0,0,0,0,0,2,0,1.0,6.0,CO,0.16666666666666666,0.15214515486254615,0.45643546458763845,-0.28976879792097177,0.014521511804120507,,,81045,<generator object <genexpr> at 0x7f6fbe722a50>
9538,81046,CO,8,0,0,0,8,1,7,0,0,0,0,1,7,2.0,3.0,CO,0.6666666666666666,0.2721655269759087,0.816496580927726,-0.1498299142610594,0.39450113969075795,,,81046,<generator object <genexpr> at 0x7f6fbe722a50>
9539,81047,CO,77,10,15,22,30,3,67,0,4,0,0,43,30,99.0,137.0,CO,0.7226277372262774,0.03824974506069399,0.11474923518208198,0.6078785020441954,0.6843779921655834,422.0,410.0,81047,<generator object <genexpr> at 0x7f6fbe722a50>
9540,81049,CO,14,1,0,3,10,2,11,0,0,0,0,8,6,9.0,19.0,CO,0.47368421052631576,0.11454888159631764,0.3436466447889529,0.13003756573736286,0.3591353289299981,619.0,625.0,81049,<generator object <genexpr> at 0x7f6fbe722a50>
9541,81050,CO,1034,60,87,188,699,10,930,12,24,0,0,533,477,1170.0,1454.0,CO,0.8046767537826685,0.01039693888476931,0.03119081665430793,0.7734859371283606,0.7942798148978991,285.0,250.0,81050,<generator object <genexpr> at 0x7f6fbe722a50>
